Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
1,Dewvault,Shroutumnia,Shroutumnia Margrave,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,28402,1003.6,1471.1,-14.15,-0.65,82,77°F,Miami (USA),capital,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:mulletFaceted;t:azure;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Dewvault&population=28402&size=46&seed=9336923410001&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
2,Honklig,Qe,Qe Parish,Pyreaz,Pyreaz Theocracy,Kobold (Goblin),Nandorism,5269,1352.5,1132.57,-3.44,10.39,118,81°F,Mogadishu (Somalia),capital,port,citadel,walls,plaza,temple,,{t1:argent;ordinaries:[{ordinary:cross;t:gules;line:embattled}];charges:[{charge:apple;t:gules;p:acgi;t2:gules;size:0.5}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Honklig&population=5269&size=24&seed=9336923410002&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=true&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.61
3,Kokozo,Ceri,Ceri Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Nandorism,39336,1356.06,1377.08,-11.17,10.51,30,79°F,Jakarta (Indonesia),capital,port,citadel,walls,plaza,temple,,{t1:azure;division:{division:perBend;t:argent;line:straight};charges:[{charge:saw;t:or;p:bcfdgh;t2:or;divided:counter;size:0.4}];shield:round},https://watabou.github.io/city-generator/?name=Kokozo&population=39336&size=52&seed=9336923410003&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.01
4,Vohzit,Vohzit,Vohzit Canton,Cielb,Republic of Cielb,Kobold (Goblin),Kobold (Goblin) Beliefs,3515,1361.2,904.59,3.78,10.67,118,81°F,Mogadishu (Somalia),capital,port,citadel,walls,plaza,,,{t1:gules;charges:[{charge:crocodile;t:argent;p:e;t2:argent;size:1.5}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Vohzit&population=3515&size=21&seed=9336923410004&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.18
5,Kut,Dovayaneli,Dovayaneli County,Alkankoreli,Commonwealth of Alkankoreli,Rohand (Human),Rohand (Human) Beliefs,3455,1669.01,1399.42,-11.88,20.41,52,79°F,Jakarta (Indonesia),capital,port,citadel,walls,plaza,,,{t1:azure;division:{division:gyronny;t:pally-argent-gules};charges:[{charge:tower;t:or;p:e;t2:or;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Kut&population=3455&size=21&seed=9336923410005&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.06
6,Dolya,Dolya,Dolya County,Ymnesin,Principality of Ymnesin,Eldar (Elfish),Eldar (Elfish) Shamanism,3714,1534.05,768.13,8.1,16.14,52,79°F,Jakarta (Indonesia),capital,port,citadel,walls,plaza,,,{t1:gules;charges:[{charge:horseRampant;t:argent;p:e;t2:or;t3:or;size:1.5}];shield:noldor},https://watabou.github.io/city-generator/?name=Dolya&population=3714&size=21&seed=9336923410006&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.68
7,Beyli,Kaymiryurt,Kaymiryurt Barony,Asiyurt,Asiyurt Horde,Rohand (Human),Rohand (Human) Beliefs,16969,1187.54,1598.25,-18.17,5.17,13,77°F,Miami (USA),capital,port,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:pall;t:purpure}];charges:[{charge:crossMaltese;t:argent;p:e;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Beyli&population=16969&size=38&seed=9336923410007&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.27
8,Silean,Methyr,Methyr Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,35649,1067.71,840.95,5.79,1.38,52,81°F,Mogadishu (Somalia),capital,port,citadel,walls,plaza,temple,shanty town,{t1:argent;ordinaries:[{ordinary:quarter;t:vert}];charges:[{charge:crossSaltire;t:or;p:j;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Silean&population=35649&size=50&seed=9336923410008&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.22
9,Yranghei,Yranghei,Yranghei Shire,Hloiriat,Kingdom of Hloiriat,Quenian (Elfish),Quenian (Elfish) Shamanism,21401,874.07,658.72,11.56,-4.74,30,79°F,Jakarta (Indonesia),capital,port,citadel,walls,plaza,,shanty town,{t1:argent;charges:[{charge:drawingCompass;t:purpure;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Yranghei&population=21401&size=41&seed=9336923410009&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.41
10,Sharithes,Sharithes,Sharithes Landgrave,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,42295,1541.27,1240.32,-6.84,16.37,210,81°F,Mogadishu (Somalia),capital,port,citadel,walls,plaza,temple,shanty town,{t1:gules;division:{division:perPale;t:argent;line:engrailed};charges:[{charge:squirrel;t:or;p:p;size:0.7};{charge:crossedBones;t:azure;p:q;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Sharithes&population=42295&size=54&seed=9336923410010&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.24
