Id,Type,Icon,Name,Note,X,Y,Latitude,Longitude
marker0,volcanoes,🌋,"Mount Bingham","Erupting volcano. Height: 16077 ft.",1271.66,1190.71,-5.27,7.84
marker1,hot-springs,♨️,"Hiavheeshi","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 68°F.",1291.74,1138.24,-3.61,8.47
marker2,water-sources,💧,"Stoverebonf Spring of Life","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",830.46,1137.2,-3.58,-6.12
marker3,mines,⛏️,"Watzakt — gold mining town","Watzakt is a mining town of 9051 people just nearby the gold mine.",1222.27,1008.16,0.5,6.27
marker4,mines,⛏️,"Bumunz — iron mining town","Bumunz is a mining town of 1541 people just nearby the iron mine.",795.9,574.9,14.21,-7.22
marker5,mines,⛏️,"Nadusharak — silver mining town","Nadusharak is a mining town of 1575 people just nearby the silver mine.",1254.25,1374.26,-11.08,7.29
marker6,mines,⛏️,"Tradeden — gold mining town","Tradeden is a mining town of 1837 people just nearby the gold mine.",788.22,1396.37,-11.78,-7.46
marker7,inns,🍻,"The Huge Tavern","A big and famous roadside tavern. Delicious baked corn with cold kumis is served here.",994.09,1147.35,-3.9,-0.95
marker8,inns,🍻,"The Loud Tavern","A big and famous roadside tavern. Delicious grilled peas with misty rom is served here.",570.01,1078.46,-1.72,-14.36
marker9,inns,🍻,"The Golden Mule","A big and famous roadside tavern. Delicious deep-fried corn with misty whisky is served here.",991.14,1337.92,-9.93,-1.04
marker10,inns,🍻,"The Peaceful Swan","A big and famous roadside tavern. Delicious smoked swan with green beer is served here.",1534.05,768.13,8.1,16.14
marker11,lighthouses,🚨,"Moosebonf Lighthouse","A lighthouse to serve as a beacon for ships in the open sea.",838.24,1510.43,-15.39,-5.88
marker12,lighthouses,🚨,"Rothelese Lighthouse","A lighthouse to serve as a beacon for ships in the open sea.",746.24,1203.75,-5.69,-8.79
marker13,lighthouses,🚨,"Bash Lighthouse","A lighthouse to serve as a beacon for ships in the open sea.",584.38,1179.16,-4.91,-13.91
marker14,lighthouses,🚨,"Selssad Lighthouse","A lighthouse to serve as a beacon for ships in the open sea.",1010.89,446.41,18.28,-0.41
marker15,lighthouses,🚨,"Altayan Lighthouse","A lighthouse to serve as a beacon for ships in the open sea.",1844.82,1049.53,-0.81,25.97
marker16,waterfalls,⟱,"Givzieqeean Waterfall","A gorgeous waterfall flows here.",1378.69,978.92,1.43,11.22
marker17,battlefields,⚔️,"Ashmor Battlefield","A historical battle of the Kutyurt Conflict. 
Date: December 9, 1616 Brury Era.",1570.94,1237.07,-6.74,17.31
marker18,battlefields,⚔️,"Ulbligz Battlefield","A historical battle of the Pyrish War. 
Date: November 8, 1463 Brury Era.",1407.2,984.7,1.24,12.12
marker19,dungeons,🗝️,"Dungeon","<div>Undiscovered dungeon. See <a href=""https://watabou.github.io/one-page-dungeon/?seed=9336923412765"" target=""_blank"">One page dungeon</a></div><iframe style=""pointer-events: none;"" src=""https://watabou.github.io/one-page-dungeon/?seed=9336923412765"" sandbox=""allow-scripts allow-same-origin""></iframe>",1210.9,1136.89,-3.57,5.91
marker20,dungeons,🗝️,"Dungeon","<div>Undiscovered dungeon. See <a href=""https://watabou.github.io/one-page-dungeon/?seed=933692341159"" target=""_blank"">One page dungeon</a></div><iframe style=""pointer-events: none;"" src=""https://watabou.github.io/one-page-dungeon/?seed=933692341159"" sandbox=""allow-scripts allow-same-origin""></iframe>",868.04,506.14,16.39,-4.93
marker21,dungeons,🗝️,"Dungeon","<div>Undiscovered dungeon. See <a href=""https://watabou.github.io/one-page-dungeon/?seed=9336923413365"" target=""_blank"">One page dungeon</a></div><iframe style=""pointer-events: none;"" src=""https://watabou.github.io/one-page-dungeon/?seed=9336923413365"" sandbox=""allow-scripts allow-same-origin""></iframe>",1819.6,1258,-7.4,25.17
marker22,dungeons,🗝️,"Dungeon","<div>Undiscovered dungeon. See <a href=""https://watabou.github.io/one-page-dungeon/?seed=9336923411382"" target=""_blank"">One page dungeon</a></div><iframe style=""pointer-events: none;"" src=""https://watabou.github.io/one-page-dungeon/?seed=9336923411382"" sandbox=""allow-scripts allow-same-origin""></iframe>",1531.64,832.93,6.05,16.06
marker23,lake-monsters,🐉,"Nabilbil Monster","Legends say a relic monster of 13 ft long inhabits Nabilbil Lake. Truth or lie, folks are afraid to fish in the lake.",1350,1315.43,-9.22,10.31
